"","installment","int_rate","last_pymnt_amnt","loan_amnt","purpose","application_type","revol_bal","dti","delinq_2yrs","mes","ano","grade","inq_last_6mths","mort_acc","open_acc","revol_util","total_acc","addr_state","annual_inc","emp_length","home_ownership","verification_status","loan_status"
"1",921.85,19.72,6.83,10.46,"1",1,8.3,25.62,1,"11","1","3",0,1,11,37.1,21,"2",11.51,"0","3","0","1"
"2",399.26,12.12,5.99,9.39,"1",1,8.95,6.44,0,"11","1","1",0,1,6,88.7,10,"0",11,"1","3","1","1"
"3",458.07,23.76,6.13,9.68,"1",1,9.07,21.29,1,"3","2","3",1,0,27,40.4,63,"0",10.99,"2","2","2","1"
"4",395.75,14.33,5.98,9.35,"1",1,9.04,26.43,0,"2","2","2",0,0,12,63.2,21,"4",10.78,"0","2","1","1"
"5",418.72,17.27,6.04,9.37,"0",1,8.17,13.47,0,"6","2","2",1,1,16,53.4,59,"1",11.7,"1","2","2","1"
"6",555.32,19.72,5.92,9.62,"2",1,8.51,5.2,0,"10","1","3",0,0,13,62.6,22,"1",10.71,"0","2","0","1"
"7",473.19,18.49,6.16,9.47,"1",1,9.18,12.57,0,"1","2","3",1,1,13,72.4,23,"1",10.94,"2","3","1","1"
"8",357.88,17.27,5.95,9.21,"0",1,9.34,24.66,0,"4","2","2",1,0,14,46.8,22,"2",10.65,"1","1","1","1"
"9",291.19,18.49,5.67,8.99,"1",1,8.82,25.12,0,"10","2","3",1,0,7,96.9,19,"3",10.28,"2","2","0","1"
"10",505.37,17.77,6.23,9.9,"1",1,9.45,10.9,0,"12","2","3",0,1,11,98.4,28,"0",11.39,"1","3","0","1"
"11",313.36,15.31,5.75,9.1,"0",1,8.72,30.43,1,"7","2","2",0,0,7,80.7,18,"4",10.57,"0","3","0","1"
"12",480.74,14.33,3.29,9.55,"1",1,8.32,5.75,0,"2","2","2",1,1,9,21.4,21,"3",10.78,"1","3","0","1"
"13",697.11,11.14,6.55,9.96,"1",1,8.66,3.15,1,"6","2","1",0,1,8,51,27,"3",11.23,"2","3","1","1"
"14",415.6,17.27,6.03,9.72,"0",1,9.92,18.09,0,"12","2","2",1,1,11,68.1,22,"1",10.6,"1","3","0","1"
"15",518.04,16.29,6.25,9.59,"0",1,9.83,18.88,0,"6","2","2",1,0,16,67.2,21,"1",10.8,"2","2","0","1"
"16",341.35,8.9,5.83,9.28,"1",1,8.45,6.04,0,"4","2","0",0,0,5,27.9,16,"4",10.4,"1","1","0","1"
"17",34.36,23.76,3.54,7.09,"2",1,5.87,12.12,0,"6","1","3",0,0,5,8.9,16,"1",9.9,"0","2","0","1"
"18",216.23,17.77,5.38,8.7,"1",1,8.52,13.28,0,"12","2","3",1,1,12,70.6,44,"1",11,"2","3","2","1"
"19",1010.48,16.29,6.92,10.26,"1",1,10.02,12.65,0,"8","2","2",1,1,12,95.2,19,"4",12.21,"0","3","2","1"
"20",489.45,16.29,6.19,9.9,"2",1,10.54,22.54,0,"6","1","2",1,0,8,71.2,13,"1",11.13,"1","2","2","1"
"21",395.37,16.29,5.98,9.32,"1",1,8.85,32.11,0,"6","2","2",0,0,13,73.8,35,"1",10.81,"2","2","0","1"
"22",545.12,14.33,7.02,9.67,"1",1,9.27,28.33,0,"4","2","2",0,0,9,66.4,20,"1",10.6,"0","2","1","1"
"23",323.98,13.11,4.31,9.17,"1",1,8.98,6.56,0,"2","1","1",1,0,5,39,12,"2",10.73,"0","2","1","1"
"24",433.27,21,6.07,9.35,"2",1,7.94,26.6,0,"8","1","3",1,1,26,93.6,54,"2",11.2,"0","3","2","1"
"25",453.97,16.29,6.12,9.83,"1",1,8.79,17.31,0,"7","2","2",1,1,12,74.9,39,"1",11.05,"2","3","0","1"
"26",562.99,19.72,6.33,9.97,"1",1,9.53,23.52,0,"10","2","3",0,1,11,85.7,27,"0",10.92,"0","3","2","1"
"27",1201.84,14.33,7.09,10.46,"1",1,10.22,27.7,0,"12","2","2",0,1,11,84.8,20,"1",11.29,"2","3","0","1"
"28",204.57,18.75,5.32,8.63,"0",1,7.89,16.37,0,"2","0","3",1,0,5,29.3,6,"4",10.76,"0","2","0","1"
"29",291.19,18.49,7.06,8.99,"2",1,8.3,10.66,0,"10","1","3",0,0,11,50.8,14,"1",10.67,"0","1","0","1"
"30",557.74,22.47,6.32,9.9,"1",1,9.04,16.71,0,"1","2","3",1,1,8,80.9,12,"3",11.08,"2","3","2","1"
"31",412.06,14.33,6.02,9.39,"0",1,9.31,28.41,0,"3","1","2",1,1,14,48.7,32,"4",10.6,"2","3","0","1"
"32",356.17,18.75,5.88,9.19,"1",1,7.56,27.54,0,"7","2","3",1,0,8,28,16,"2",10.69,"2","3","0","1"
"33",893.12,15.8,6.79,10.15,"1",1,9.54,16.23,0,"7","2","2",1,1,11,38,36,"3",10.97,"1","3","0","1"
"34",508.46,15.8,6.23,9.95,"1",1,10.09,21.19,0,"1","2","2",1,1,17,55.8,33,"3",11.88,"1","3","0","1"
"35",758.06,17.77,6.63,10.31,"1",1,11.04,13.73,1,"1","2","3",0,1,12,68.1,33,"0",11.29,"2","3","0","1"
"36",469.88,16.29,6.15,9.86,"1",1,9.4,34.26,0,"12","2","2",0,0,9,37.3,24,"4",10.82,"1","1","0","1"
"37",666.82,8.9,6.5,9.95,"2",1,9.24,6.34,0,"1","2","0",1,1,7,56.4,25,"4",11.64,"2","3","2","1"
"38",375.77,17.27,5.93,9.26,"2",1,10.57,29.09,0,"12","2","2",0,0,17,90.5,30,"1",11.29,"2","2","0","1"
"39",732.3,19.05,6.6,10.25,"1",1,10.8,24.22,0,"12","2","3",1,1,16,67.2,36,"0",11.06,"2","3","0","1"
"40",348.18,15.31,5.85,9.21,"1",1,8.99,11.19,0,"8","2","2",1,0,9,42.6,13,"0",10.97,"0","2","2","1"
"41",539.96,13.11,6.29,9.68,"0",1,10.69,13.45,0,"2","2","1",1,1,12,81.5,30,"1",11.41,"1","3","1","1"
"42",727.11,19.05,3.23,10.24,"1",1,10.12,29.88,0,"4","2","3",1,1,19,87.2,33,"3",11.74,"0","3","0","1"
"43",870.44,15.31,6.08,10.13,"1",1,9.39,28.5,0,"5","2","2",0,1,14,43.1,32,"2",11,"1","3","0","1"
"44",146.44,24.89,4.99,8.52,"2",1,8.42,5.55,0,"10","0","3",1,0,6,97,10,"1",10.56,"0","2","0","1"
"45",382.63,12.12,5.35,9.35,"1",1,8.88,18.83,0,"11","2","1",1,1,9,48.5,19,"3",10.49,"1","3","0","1"
"46",590.81,21.98,7.1,9.97,"1",1,9.58,31.37,0,"11","1","3",0,0,9,63.2,21,"0",10.79,"1","2","0","1"
"47",538.72,15.8,6.29,10.01,"0",1,10.2,24.82,1,"7","2","2",0,1,9,61.1,28,"3",10.82,"1","3","0","1"
"48",344.46,11.14,5.84,9.26,"0",1,8.98,8.01,0,"5","2","1",1,1,13,43.6,44,"3",11.35,"2","3","2","1"
"49",757.84,15.8,6.63,10.35,"2",1,9.22,6.7,0,"8","1","2",1,1,17,23.2,42,"4",11.16,"2","3","0","1"
"50",401.59,13.11,6,9.38,"1",1,10.36,16.21,0,"12","2","1",1,1,18,48,38,"2",11.25,"1","2","1","1"
"51",337.47,13.11,5.82,9.21,"1",1,9.08,25.99,0,"6","2","1",1,1,11,71.8,17,"2",10.82,"1","3","1","1"
"52",435.82,15.8,6.08,9.8,"2",1,10.39,32.58,0,"1","1","2",1,1,23,47.1,36,"0",11.47,"2","3","0","1"
"53",595.39,23.28,6.39,9.95,"1",1,9.8,6.87,1,"5","2","3",1,0,10,51.8,19,"2",11.56,"1","1","2","1"
"54",985.16,21.49,7.59,10.16,"0",1,8.72,13.39,0,"10","2","3",1,0,8,93,33,"0",11.08,"0","2","0","1"
"55",323.43,10.16,5.78,9.21,"0",1,8.99,4.97,0,"12","2","1",1,1,6,48.2,24,"1",11.56,"2","2","0","1"
"56",342.22,14.09,5.84,9.21,"2",1,9.74,22.44,0,"12","2","1",1,1,14,67.6,23,"4",11.16,"2","3","1","1"
"57",606.45,17.77,6.51,10.09,"1",1,9.99,18.39,0,"6","2","3",1,1,13,69.5,23,"0",11.25,"1","3","0","1"
"58",1181.15,13.11,4.61,10.46,"1",1,10.06,14.87,0,"4","2","1",1,0,10,44,23,"1",11.72,"0","2","0","1"
"59",485.16,17.77,6.18,9.86,"1",1,8.51,27.47,1,"2","2","3",0,1,9,34.9,24,"3",10.95,"0","1","0","1"
"60",482,17.77,6.18,9.86,"0",1,9.68,9.93,0,"11","2","3",0,0,22,71.4,36,"3",11.03,"1","3","0","1"
"61",202.77,22.95,5.31,8.88,"2",1,9.5,18.53,0,"6","2","3",1,1,12,62.3,33,"1",11.68,"2","2","0","1"
"62",605.3,15.8,6.63,10.13,"1",1,8.42,22.37,0,"5","2","2",1,1,13,18,42,"3",11.29,"2","3","0","1"
"63",430.83,17.77,3.53,9.74,"1",1,9.16,23.73,0,"12","2","3",0,1,18,55.1,33,"2",10.55,"0","3","0","1"
"64",399.97,17.27,5.99,9.68,"1",1,9.57,18.15,1,"6","1","2",1,0,15,61.6,27,"4",11.71,"1","2","2","1"
"65",350.59,15.8,3.22,9.21,"0",1,9.11,33.64,0,"12","2","2",0,0,9,61.8,12,"3",10.4,"2","2","0","1"
"66",404.3,17.77,6,9.68,"2",1,8.83,10.84,1,"11","2","3",0,1,14,19.3,23,"3",10.92,"0","3","0","1"
"67",485.14,10.16,5.99,9.62,"1",1,10.22,20.4,1,"1","2","1",0,1,11,91.2,30,"4",11.29,"2","3","1","1"
"68",697.18,22.47,6.55,10.13,"0",1,10.14,23.62,0,"12","2","3",1,1,16,93.9,45,"2",11,"0","3","0","1"
"69",734.18,16.29,6.6,10.31,"1",1,10.37,24.56,1,"7","2","2",0,1,20,28.3,62,"3",11.26,"2","3","0","1"
"70",1123.44,16.29,7.02,10.37,"1",1,10.17,30.11,0,"11","2","2",0,1,8,87.7,13,"3",11.23,"2","3","0","1"
