borrower_id,addr_state,annual_inc,emp_length,home_ownership,verification_status,loan_status
1,2,11.51,0,3,0,1
2,0,11.0,1,3,1,1
3,0,10.99,2,2,2,1
4,4,10.78,0,2,1,1
5,1,11.7,1,2,2,1
6,1,10.71,0,2,0,1
7,1,10.94,2,3,1,1
8,2,10.65,1,1,1,1
9,3,10.28,2,2,0,1
10,0,11.39,1,3,0,1
11,4,10.57,0,3,0,1
12,3,10.78,1,3,0,1
13,3,11.23,2,3,1,1
14,1,10.6,1,3,0,1
15,1,10.8,2,2,0,1
16,4,10.4,1,1,0,1
17,1,9.9,0,2,0,1
18,1,11.0,2,3,2,1
19,4,12.21,0,3,2,1
20,1,11.13,1,2,2,1
21,1,10.81,2,2,0,1
22,1,10.6,0,2,1,1
23,2,10.73,0,2,1,1
24,2,11.2,0,3,2,1
25,1,11.05,2,3,0,1
26,0,10.92,0,3,2,1
27,1,11.29,2,3,0,1
28,4,10.76,0,2,0,1
29,1,10.67,0,1,0,1
30,3,11.08,2,3,2,1
31,4,10.6,2,3,0,1
32,2,10.69,2,3,0,1
33,3,10.97,1,3,0,1
34,3,11.88,1,3,0,1
35,0,11.29,2,3,0,1
36,4,10.82,1,1,0,1
37,4,11.64,2,3,2,1
38,1,11.29,2,2,0,1
39,0,11.06,2,3,0,1
40,0,10.97,0,2,2,1
41,1,11.41,1,3,1,1
42,3,11.74,0,3,0,1
43,2,11.0,1,3,0,1
44,1,10.56,0,2,0,1
45,3,10.49,1,3,0,1
46,0,10.79,1,2,0,1
47,3,10.82,1,3,0,1
48,3,11.35,2,3,2,1
49,4,11.16,2,3,0,1
50,2,11.25,1,2,1,1
51,2,10.82,1,3,1,1
52,0,11.47,2,3,0,1
53,2,11.56,1,1,2,1
54,0,11.08,0,2,0,1
55,1,11.56,2,2,0,1
56,4,11.16,2,3,1,1
57,0,11.25,1,3,0,1
58,1,11.72,0,2,0,1
59,3,10.95,0,1,0,1
60,3,11.03,1,3,0,1
61,1,11.68,2,2,0,1
62,3,11.29,2,3,0,1
63,2,10.55,0,3,0,1
64,4,11.71,1,2,2,1
65,3,10.4,2,2,0,1
66,3,10.92,0,3,0,1
67,4,11.29,2,3,1,1
68,2,11.0,0,3,0,1
69,3,11.26,2,3,0,1
70,3,11.23,2,3,0,1
71,0,10.71,2,2,0,1
72,3,10.82,1,3,0,1
73,3,11.16,1,2,0,1
74,3,11.51,1,3,0,1
75,2,10.78,0,3,0,1
76,0,11.31,2,2,0,1
77,1,10.69,0,3,0,1
78,0,10.82,2,2,2,1
79,3,11.29,1,3,0,1
80,2,11.29,0,3,0,1
81,0,11.61,0,3,0,1
82,2,11.41,2,3,0,1
83,4,11.08,0,3,0,1
84,1,11.0,0,2,0,1
85,1,10.78,1,2,1,1
86,4,11.74,1,2,0,1
87,3,11.51,2,3,1,1
88,4,11.2,2,3,0,1
89,0,10.24,1,2,0,1
90,1,10.96,0,2,1,1
91,1,11.13,1,2,0,1
92,1,11.08,1,2,1,1
93,3,11.22,0,2,0,1
94,4,10.31,0,2,2,1
95,0,11.55,1,3,0,1
96,2,10.69,1,1,0,1
97,0,11.08,0,2,0,1
98,3,10.52,0,2,1,1
99,0,10.97,0,2,0,1
100,0,11.0,1,2,1,1
101,2,10.92,2,3,0,1
102,1,10.6,0,2,1,1
103,4,10.71,2,3,0,1
104,2,10.82,1,2,0,1
105,1,11.46,0,3,0,1
106,2,11.36,1,3,0,1
107,4,11.02,2,3,0,1
108,0,10.78,2,3,0,1
109,0,10.84,0,2,0,1
110,0,11.23,2,3,2,1
111,3,10.8,0,3,1,1
112,0,11.39,2,2,1,1
113,1,10.6,2,2,1,1
114,2,11.45,0,3,0,1
115,2,11.46,0,3,0,1
116,1,11.35,1,2,1,1
117,0,11.23,0,2,2,1
118,1,11.29,0,3,2,1
119,0,11.46,0,2,2,1
120,3,10.37,0,3,0,1
121,1,11.23,1,3,0,1
122,2,11.3,2,2,0,1
123,1,11.0,0,2,1,1
124,4,10.55,1,1,2,1
125,0,11.23,2,2,0,1
126,2,11.0,0,3,0,1
127,1,11.0,2,2,1,1
128,2,11.72,0,3,0,1
129,1,11.16,0,3,0,1
130,1,11.08,0,3,1,1
131,3,10.43,0,2,1,1
132,1,12.03,1,2,0,1
133,2,11.78,0,2,0,1
134,3,10.6,1,3,0,1
135,0,11.29,2,2,0,1
