borrower_id,addr_state,annual_inc,emp_length,home_ownership,verification_status,loan_status
borrower-1,AZ,24000.0,10+ years,RENT,Verified,Fully Paid
borrower-2,GA,30000.0,< 1 year,RENT,Source Verified,Charged Off
borrower-3,IL,12252.0,10+ years,RENT,Not Verified,Fully Paid
borrower-4,CA,49200.0,10+ years,RENT,Source Verified,Fully Paid
borrower-5,OR,80000.0,1 year,RENT,Source Verified,Fully Paid
borrower-6,AZ,36000.0,3 years,RENT,Source Verified,Fully Paid
borrower-7,NC,47004.0,8 years,RENT,Not Verified,Fully Paid
borrower-8,CA,48000.0,9 years,RENT,Source Verified,Fully Paid
borrower-9,CA,40000.0,4 years,OWN,Source Verified,Charged Off
borrower-10,TX,15000.0,< 1 year,RENT,Verified,Charged Off
borrower-11,AZ,72000.0,5 years,OWN,Not Verified,Fully Paid
borrower-12,CA,75000.0,10+ years,OWN,Source Verified,Fully Paid
borrower-13,VA,30000.0,< 1 year,RENT,Source Verified,Charged Off
borrower-14,IL,15000.0,3 years,RENT,Source Verified,Fully Paid
borrower-15,CA,100000.0,3 years,RENT,Source Verified,Charged Off
borrower-16,MO,28000.0,< 1 year,RENT,Not Verified,Fully Paid
borrower-17,CA,42000.0,4 years,RENT,Not Verified,Fully Paid
borrower-18,CT,110000.0,10+ years,MORTGAGE,Not Verified,Fully Paid
borrower-19,UT,84000.0,1 year,MORTGAGE,Verified,Fully Paid
borrower-20,CA,77385.19,6 years,RENT,Not Verified,Fully Paid
borrower-21,TX,43370.0,3 years,RENT,Verified,Fully Paid
borrower-22,FL,105000.0,10+ years,RENT,Verified,Charged Off
borrower-23,TX,50000.0,10+ years,OWN,Source Verified,Fully Paid
borrower-24,CA,50000.0,5 years,RENT,Not Verified,Fully Paid
borrower-25,CA,76000.0,1 year,RENT,Not Verified,Charged Off
borrower-26,IL,92000.0,2 years,MORTGAGE,Verified,Fully Paid
borrower-27,NY,60000.0,9 years,RENT,Not Verified,Charged Off
borrower-28,PA,50004.0,2 years,RENT,Not Verified,Charged Off
borrower-29,FL,106000.0,10+ years,MORTGAGE,Not Verified,Fully Paid
borrower-30,MN,25000.0,< 1 year,RENT,Source Verified,Fully Paid
borrower-31,NY,17108.0,7 years,MORTGAGE,Source Verified,Fully Paid
borrower-32,NJ,75000.0,5 years,MORTGAGE,Verified,Fully Paid
borrower-33,FL,29120.0,2 years,RENT,Verified,Fully Paid
borrower-34,OR,24044.0,2 years,RENT,Verified,Fully Paid
borrower-35,CA,34000.0,7 years,RENT,Source Verified,Fully Paid
borrower-36,KY,41000.0,10+ years,RENT,Not Verified,Fully Paid
borrower-37,CA,55596.0,2 years,RENT,Source Verified,Fully Paid
borrower-38,OH,45000.0,1 year,RENT,Verified,Fully Paid
borrower-39,AZ,36852.0,1 year,RENT,Source Verified,Fully Paid
borrower-40,IL,27000.0,1 year,RENT,Verified,Fully Paid
borrower-41,SC,68004.0,4 years,RENT,Source Verified,Fully Paid
borrower-42,NJ,62300.0,10+ years,RENT,Not Verified,Fully Paid
borrower-43,PA,65000.0,9 years,MORTGAGE,Not Verified,Fully Paid
borrower-44,RI,55000.0,10+ years,RENT,Not Verified,Fully Paid
borrower-45,LA,45600.0,10+ years,MORTGAGE,Not Verified,Fully Paid
borrower-46,MA,80000.0,6 years,RENT,Not Verified,Fully Paid
borrower-47,OH,100000.0,10+ years,MORTGAGE,Source Verified,Charged Off
borrower-48,NY,27000.0,6 years,RENT,Verified,Fully Paid
borrower-49,CT,60000.0,10+ years,RENT,Not Verified,Fully Paid
borrower-50,CT,70000.0,5 years,RENT,Not Verified,Fully Paid
borrower-51,IL,80000.0,8 years,MORTGAGE,Not Verified,Charged Off
borrower-52,CA,110000.0,9 years,RENT,Verified,Fully Paid
borrower-53,CA,40000.0,< 1 year,RENT,Not Verified,Fully Paid
borrower-54,CA,50000.0,4 years,RENT,Not Verified,Charged Off
borrower-55,TX,46000.0,1 year,RENT,Not Verified,Fully Paid
borrower-56,WA,50000.0,7 years,RENT,Verified,Charged Off
borrower-57,MA,81000.0,7 years,RENT,Verified,Fully Paid
borrower-58,OR,39000.0,< 1 year,OWN,Not Verified,Fully Paid
borrower-59,TX,51400.0,2 years,RENT,Not Verified,Fully Paid
borrower-60,TX,33000.0,1 year,MORTGAGE,Verified,Fully Paid
borrower-61,NJ,30000.0,< 1 year,MORTGAGE,Source Verified,Fully Paid
borrower-62,CA,40000.0,6 years,RENT,Verified,Fully Paid
borrower-63,WI,50000.0,< 1 year,RENT,Source Verified,Fully Paid
borrower-64,VA,62000.0,< 1 year,RENT,Not Verified,Fully Paid
borrower-65,OH,45996.0,10+ years,RENT,Verified,Charged Off
borrower-66,OH,55000.0,7 years,MORTGAGE,Not Verified,Fully Paid
borrower-67,MN,30000.0,5 years,RENT,Source Verified,Charged Off
borrower-68,CA,44544.0,4 years,RENT,Source Verified,Fully Paid
borrower-69,CA,75000.0,4 years,RENT,Source Verified,Charged Off
borrower-70,FL,61000.0,2 years,OWN,Verified,Fully Paid
borrower-71,GA,44000.0,5 years,MORTGAGE,Verified,Fully Paid
borrower-72,CA,75000.0,5 years,RENT,Not Verified,Charged Off
borrower-73,AL,33600.0,1 year,RENT,Not Verified,Fully Paid
borrower-74,MA,50000.0,3 years,RENT,Not Verified,Fully Paid
borrower-75,NY,150000.0,< 1 year,OWN,Source Verified,Fully Paid
borrower-76,NJ,90000.0,10+ years,RENT,Not Verified,Fully Paid
borrower-77,TX,48000.0,10+ years,MORTGAGE,Verified,Fully Paid
borrower-78,CA,75000.0,< 1 year,RENT,Verified,Fully Paid
borrower-79,TX,52000.0,1 year,MORTGAGE,Not Verified,Fully Paid
borrower-80,FL,65000.0,10+ years,MORTGAGE,Not Verified,Fully Paid
borrower-81,NY,150000.0,3 years,MORTGAGE,Verified,Fully Paid
borrower-82,PA,68000.0,2 years,RENT,Source Verified,Fully Paid
borrower-83,NY,42000.0,6 years,RENT,Source Verified,Fully Paid
borrower-84,CA,53000.0,4 years,RENT,Source Verified,Fully Paid
borrower-85,CA,35000.0,10+ years,RENT,Source Verified,Fully Paid
borrower-86,CA,60000.0,2 years,RENT,Source Verified,Fully Paid
borrower-87,WA,28000.0,4 years,RENT,Verified,Fully Paid
borrower-88,TX,42000.0,< 1 year,MORTGAGE,Source Verified,Fully Paid
borrower-89,AZ,88365.0,9 years,RENT,Verified,Fully Paid
borrower-90,CA,72000.0,4 years,RENT,Source Verified,Fully Paid
borrower-91,TX,62000.0,< 1 year,RENT,Verified,Fully Paid
borrower-92,MN,43680.0,3 years,MORTGAGE,Not Verified,Fully Paid
borrower-93,NY,120000.0,3 years,RENT,Source Verified,Fully Paid
borrower-94,CA,66000.0,10+ years,RENT,Verified,Fully Paid
borrower-95,FL,39120.0,4 years,OWN,Not Verified,Fully Paid
borrower-96,VA,85000.0,6 years,RENT,Verified,Fully Paid
borrower-97,VA,47800.0,4 years,MORTGAGE,Verified,Fully Paid
borrower-98,WA,45000.0,7 years,MORTGAGE,Not Verified,Charged Off
borrower-99,IL,83000.0,10+ years,MORTGAGE,Verified,Fully Paid
borrower-100,CO,81000.0,< 1 year,RENT,Source Verified,Fully Paid
